BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3
Asda Express Pinewood PFS,Retailers - other,Pinewood Service Station Reading Road,Burghfield Common,Reading
Asda Express Yateley Reading Road PFS,Retailers - supermarkets/hypermarkets,13 Reading Road,Yateley,
Asda Pangbourne - Pangbourne Service Station,Retailers - other,Pangbourne Service Station Reading Road,Pangbourne,Reading
Asda Service Station,Retailers - other,12/14 School Road,Tilehurst,Reading
Asda Superstore,Retailers - supermarkets/hypermarkets,67 Honey End Lane,Reading,Berkshire
Aseda Supermarkets,Retailers - supermarkets/hypermarkets,170 Oxford Road,Reading,
Ashanti Royale Restaurant and Catering Services,Restaurant/Cafe/Canteen,152 Oxford Road,Reading,
Asian Spice,Takeaway/sandwich shop,3 The Colonnade Overdown Road,Tilehurst,Reading
Asiana Spice,Restaurant/Cafe/Canteen,34 Reading Road,Henley-On-Thames,Oxon
Aspens @ Worle Community School,Other catering premises,,Redwing Drive,Worle
ASR Solutions Ltd,Distributors/Transporters,Unit 1 Meadow Road,Reading,
Atif Superstore,Retailers - other,481-483 Oxford Road,Reading,
Atlas Shawarma,Restaurant/Cafe/Canteen,349 Oxford Road,Reading,
Attimonosh,Takeaway/sandwich shop,120a Henley Road,Caversham,Reading
Auntie Anne's Pretzels at The Oracle,Takeaway/sandwich shop,Bridge Street,Reading,
Aurora Rowan School,School/college/university,Aurora Rowan School Dyson Wood,Tokers Green,Kidmore End Reading
Ava's Play Cafe,Restaurant/Cafe/Canteen,70 Reading Road South,Fleet,Hampshire
Avenue Food & Wine,Retailers - other,92 Northcourt Avenue,Reading,
Avilah Foods,Manufacturers/packers,535 Oxford Road,Reading,
Awberry Farm Events,Other catering premises,Awberry Farm The Green,Beenham,Reading
Aya's Home Kitchen,Other catering premises,48 Winton Road,Reading,
"Aylesbury, Chiltern & South Bucks Sports & Social Club",Other catering premises,270 Whitley Wood Road,Reading,
B and M Retail Ltd,Retailers - other,Unit 3 Savacentre Bath Road,Calcot,Reading
B&B,Mobile caterer,1 Whitchurch Road,Pangbourne,Reading
B&B Local Ltd,Retailers - other,62 Peppard Road,Sonning Common,Reading
B&M Home Store with Garden Centre,Retailers - other,709-731 Oxford Road,Reading,
B&M Store,Retailers - other,Units 3a & 3b Brunel Shopping Centre,Rose Kiln Lane,Reading
B&S Food and Wine LTD,Retailers - other,,Spencer Wood Store,Basingstoke Road
Baby Buddies Breakfast Club,School/college/university,,Polmont Playgroup,Redding Road
Back of Beyond,Pub/bar/nightclub,108 Kings Road,Reading,
Bagaara,Restaurant/Cafe/Canteen,256 Shinfield Road,Reading,
Bahgecha Restaurant,Restaurant/Cafe/Canteen,35 Clayhill Road,Burghfield Common,Reading
Bainton Reading Room,Other catering premises,Bainton Reading Room,Barnack Road,Bainton
Bakery House,Restaurant/Cafe/Canteen,82 London Street,Reading,
Bally Convenience Store,Retailers - other,2 Pell Street,Reading,
Banana Moon Day Nursery,Caring Premises,371 Gosbrook Road,Caversham,Reading
Banh Mi QB,Other catering premises,19-23 King Street,Reading,
Bar Iguana,Pub/bar/nightclub,11 St Marys Butts,Reading,
Bar+Block,Restaurant/Cafe/Canteen,Oakdene Court,613 Reading Road,Winnersh
Barn Owl Day Nursery,Caring Premises,Barn Owl Nursery Domus Oxford Road,Tilehurst,Reading
Barney's After School & Holiday Club,Caring Premises,The Reading Rooms The Reading Rooms Fox Street,,Great Gransden
Barrow Sixth Form College,School/college/university,Barrow In Furness Sixth Form C,Rating Lane,Barrow-In-Furness
Barry's Burger Bar,Mobile caterer,1 Scours Lane,Reading,
Basildon Extra,Caring Premises,Basildon C Of E Primary School School Lane,Upper Basildon,Reading
Basildon Park - National Trust Enterprises Ltd,Retailers - other,Basildon Park,Lower Basildon,Reading
Baweja Superstore,Retailers - other,,The Street,Hurst
Baxter Storey at Cisco Systems,Restaurant/Cafe/Canteen,300 Longwater Avenue,Reading,
Baxter Storey at Ernest and Young,Restaurant/Cafe/Canteen,2 Blagrave Street,Reading,
Baxter Storey at Visa Europe,Restaurant/Cafe/Canteen,41-45 Queens Road,Reading,
Baxterstorey - Apex Building,Restaurant/Cafe/Canteen,Forbury Road,Reading,
BaxterStorey - Deloitte,Restaurant/Cafe/Canteen,Abbots House Abbey Street,Reading,
Baxterstorey @ JLL Green Park,Restaurant/Cafe/Canteen,400 Brook Drive,Reading,
BaxterStorey at Campus Kitchen,Restaurant/Cafe/Canteen,Reading International Business Park,Reading,
BaxterStorey at One Station Hill,Restaurant/Cafe/Canteen,One Station Hill Garrard Street,Reading,
BaxterStorey CBRE Thames Hub,Other catering premises,250 Brook Drive,Reading,
Bays Peri Peri,Restaurant/Cafe/Canteen,6 West Street,Reading,
BB's Bakers & Baristas,Restaurant/Cafe/Canteen,Bridge Street,Reading,
Be At One,Restaurant/Cafe/Canteen,1 Gun Street,Reading,
Beacher Hall Nursing Home,Caring Premises,42 Bath Road,Reading,
Beenham Club,Pub/bar/nightclub,The Beenham Victory Hall Picklepythe Lane,Beenham,Reading
Beesknees Day Nursery,Caring Premises,97 Connaught Road,Reading,
Beijing,Takeaway/sandwich shop,,44 Redding Road,
Bella Italia at The Oracle / Super Nonna,Restaurant/Cafe/Canteen,Bridge Street,Reading,
Bellapizza and Kebab House,Restaurant/Cafe/Canteen,41 Clayhill Road,Burghfield Common,Reading
Ben's Cookies at The Oracle,Retailers - other,Bridge Street,Reading,
Berkeley Garden Day Nursery,Caring Premises,72 Berkeley Avenue,Reading,
Berkshire Kebab House Ltd,Takeaway/sandwich shop,15 High Street,Theale,Reading
Berkshire Meat Traders,Retailers - other,17 Deacon Way,Tilehurst,Reading
Berkshire Vision - West Berkshire East Socialeyes at Burghfield Village Hall,Pub/bar/nightclub,Burghfield Village Hall Recreation Road,Burghfield Common,Reading
Berries Coffee @ TG Gym,Restaurant/Cafe/Canteen,357 Reading Road,,Henley-On-Thames
Berrys at Walton,Restaurant/Cafe/Canteen,Walton Reading Room,,Walton
Best and Less Supermarket,Retailers - other,55 Basingstoke Road,Reading,
Best Foods,Retailers - other,129 Oxford Road,Reading,
Best Kebab House,Takeaway/sandwich shop,234c Shinfield Road,Reading,
Best One,Retailers - other,,487 Reading Road,Winnersh
Best One,Retailers - other,1a Nire Road,Caversham,Reading
Best Western Calcot Hotel,Hotel/bed & breakfast/guest house,Calcot Hotel Bath Road,Calcot,Reading
BETLEY READING ROOM,Other catering premises,The Reading Room,Main Road,Betley
"Better Cafe, Palmer Park",Restaurant/Cafe/Canteen,Wokingham Road,Reading,
Betty's Bistro,Restaurant/Cafe/Canteen,487 Oxford Road,Reading,
Bierhaus,Restaurant/Cafe/Canteen,8 Queens Walk,Reading,
Big Bazaar,Retailers - supermarkets/hypermarkets,13-17 London Road,Reading,
