BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3
Caversham Bowling Club,Pub/bar/nightclub,Albert Road,Caversham,Reading Berkshire
Caversham Butcher,Retailers - other,39a Church Street,Caversham,Reading
Caversham Health & Fitness Club,Pub/bar/nightclub,Archway Road,Caversham,Reading
Caversham Local Food & Wine,Retailers - other,320 Hemdean Road,Caversham,Reading
Caversham Nursery School,Caring Premises,114 Amersham Road,Caversham,Reading
Caversham Park Primary School,School/college/university,Queensway,Caversham,Reading
Caversham Park Village Social Club,Pub/bar/nightclub,Milestone Way,Caversham,Reading
Caversham Pharmacy,Retailers - other,59a Hemdean Road,Caversham,Reading
Caversham Preparatory School,School/college/university,16 Peppard Road,Caversham,Reading
Caversham Tandoori,Takeaway/sandwich shop,15 Prospect Street Caversham,Reading,
Caversham Working Mens Club,Pub/bar/nightclub,36 Church Street,Caversham,Reading
Caviar Fresh Fish,Retailers - other,51 Whitley Street,Reading,
Cedar Lodge,Caring Premises,Cedar Lodge Care Home Eastfield Lane,Whitchurch-On-Thames,Reading
Cedars at Boot Farm Nursery,Caring Premises,Boot Farm Kindergarten Boot Farm Back Lane,Brimpton,Reading
Cedars Day Nursery and Preschool,Caring Premises,The Cedars School Church Road,Aldermaston,Reading
Cellar & Glass Limited,Retailers - other,27 Rose Kiln Lane,Reading,
Cerealworks,Restaurant/Cafe/Canteen,University Of Reading,Whiteknights Road,Earley
Chaaye Paani,Other catering premises,Moulsford Mews,Reading,
Chaddleworth B&B,Hotel/bed & breakfast/guest house,Chaddleworth,Streatley,Reading
Chaiiwala Reading,Restaurant/Cafe/Canteen,140-142 Wokingham Road,Reading,
Chalkhouse Nursery Waterside,Caring Premises,,600 Thames Valley Park Drive,Reading
Chana Stores,Retailers - other,4 Whitehouse Road,Woodcote,Reading
Chandni Kiosk,Retailers - other,161 Friar Street,Reading,
Charles Clore Court at  A2dominion,Caring Premises,Appleford Road,Reading,
Chartwells at Battle Primary School,School/college/university,Cranbury Road,Reading,
Chartwells at Kings Academy Prospect,School/college/university,Cockney Hill,Tilehurst,Reading
Chartwells at Reading Girls School,School/college/university,Northumberland Avenue,Reading,
Chase doughnuts,Mobile caterer,273 Norcot Road,Reading,
Checkendon After School Club,School/college/university,Checkendon Church Of England (A) Primary School Main Street,Checkendon,Reading
Checkendon Equestrian Centre Ltd,Retailers - other,Lovegroves Lane,Checkendon,Reading
Checkendon Pre-School,Caring Premises,Checkendon Village Hall,Checkendon,Reading
Chef Stevie's Caribbean Kitchen,Other catering premises,15 Highbridge Close,Caversham,Reading
Chefs Taste at The Butchers Arms,Restaurant/Cafe/Canteen,The Butchers Arms Blounts Court Road,Sonning Common,Reading
Cherry Lodge Guest House,Hotel/bed & breakfast/guest house,Reading Road,Mattingley,Hook
Chick Bunz,Restaurant/Cafe/Canteen,41 Wokingham Road,Reading,
Chicken Base,Takeaway/sandwich shop,144 Wokingham Road,Reading,
Chilis Indian Restaurant,Restaurant/Cafe/Canteen,2a & 3a Kings Walk,Kings Street,Reading
Chilis South Indian Restaurant,Restaurant/Cafe/Canteen,Unit 8a-9a & 11a Kings Walk King Street,Reading,
Chill Cup,Takeaway/sandwich shop,Unit 7a 19/23 King Street,Reading,
Chillim,Restaurant/Cafe/Canteen,598-600 Oxford Road,Reading,
Chillim,Restaurant/Cafe/Canteen,56 St Mary's Butts,Reading,
Chilmington House,Caring Premises,Armadale Court,Reading,
Chimney Court at A2Dominion,Caring Premises,Shilling Close,Reading,Berkshire
Chineham Indian Cuisine,Restaurant/Cafe/Canteen,1 Reading Road,Chineham,Basingstoke
Choice Care Group At Boxgrove House,Caring Premises,Boxgrove Little Heath Road,Tilehurst,Reading
Choice Care Group At Little Heath Court,Caring Premises,Little Heath Court Little Heath Road,Tilehurst,Reading
Choice Carrisbrooke,Caring Premises,341 Peppard Road,Emmer Green,Reading
Choice Ltd At Appletrees,Caring Premises,Appletrees Manor Farm Road,Chapel Row,Reading
Choice Ltd At Rowan Cottage,Caring Premises,Rowan Cottage Sulhamstead Road,Burghfield,Reading
Choice Parkview,Caring Premises,1 Armour Road,Tilehurst,Reading
Choice Peppard House,Caring Premises,45 Woodcote Road,Caversham,Reading
"Choice, Hazeldene",Caring Premises,129 Wantage Road,Reading,
Cholsey Cricket Club,Restaurant/Cafe/Canteen,The Cricket Pavilion Cholsey Meadows Reading Road,Cholsey,Wallingford Oxon
Chop Suey House,Takeaway/sandwich shop,679 Oxford Road,Reading,
Chopstix Noodle Bar,Restaurant/Cafe/Canteen,80 Broad Street,Reading,
Chow Asian Kitchen Westbound,Restaurant/Cafe/Canteen,Motorway Service Area,Burghfield,Reading
Chow Eastbound,Restaurant/Cafe/Canteen,Motorway Service Area,Burghfield,Reading
Christ Church,Restaurant/Cafe/Canteen,Reading Road,Chineham,Basingstoke
Christian Community Action Drop In Centre,Takeaway/sandwich shop,South Street,Caversham,Reading
Christians Together In Mission T/a Cafe B,Restaurant/Cafe/Canteen,Burghfield Common Methodist Church Reading Road,Burghfield Common,Reading
Christine's,Other catering premises,Oak Tree House 10 Spey Road,Reading,
Chubby's Mobile Van,Mobile caterer,468 Basingstoke Road,Reading,
Churchend Primary Academy,Restaurant/Cafe/Canteen,Usk Road,Tilehurst,Reading
Churchend Primary Academy Trust (Compass Group),School/college/university,Usk Road,Tilehurst,Reading
Churches In Reading Drop In Centre,Restaurant/Cafe/Canteen,Berkeley Avenue,Reading,
Cinnamon Tree,Restaurant/Cafe/Canteen,Cinnamon Tree The Street,Mortimer,Reading
Circle Reading,Caring Premises,100 Drake Way,Reading,
Clay's,Restaurant/Cafe/Canteen,22-24 Prospect Street,Caversham,Reading
Cleeve Lodge Ltd.,Caring Premises,Elmhurst Road,Goring,Reading
Cleverchefs Catering at Whitchurch Primary School,School/college/university,Eastfield Lane,Whitchurch On Thames,Reading
Cleverchefs Catering Limited at Sulhamstead and Ufton Nervet Primary School,School/college/university,Sulhamstead And Ufton Nervet Church Of England Voluntary Aided Primary School Church Lane,Ufton Nervet,Reading
Cleverchefs Catering Ltd at Burghfield St Mary's Church of England Primary School,School/college/university,Burghfield St Marys Church Of England Primary School Theale Road,Burghfield,Reading
Clip 'n Climb,Restaurant/Cafe/Canteen,The Grain Store Bridge Farm,Reading Road,Arborfield
Cloud Nine Candy Floss Art,Mobile caterer,2 James Street,Reading,
Club Era,Pub/bar/nightclub,16 Friar Street,Reading,
Club India,Restaurant/Cafe/Canteen,,355 Reading Road,Winnersh
Cmart Oriental Store,Retailers - other,1 St Marys Butts,Reading,
Co-op,Retailers - supermarkets/hypermarkets,9 - 15 Victoria Road,Mortimer Common,Reading
Co-operative Food,Retailers - other,Black Horse House University Of Reading,Shinfield Road,Reading
Co-operative Food,Retailers - supermarkets/hypermarkets,124 Henley Road,Caversham,Reading
Co-operative Food,Retailers - supermarkets/hypermarkets,29-35 School Road,Tilehurst,Reading
Co-operative Food,Retailers - supermarkets/hypermarkets,100 South View Avenue,Caversham,Reading
Co-operative Food,Retailers - supermarkets/hypermarkets,164-168 Whitley Wood Road,Reading,
Co-operative Food,Retailers - supermarkets/hypermarkets,201 London Road,Reading,
Co-operative Food,Retailers - supermarkets/hypermarkets,55-57 Erleigh Road,Reading,
Co-operative Group,Retailers - supermarkets/hypermarkets,44 Wood Lane,Sonning Common,Reading
Co-operative Group,Retailers - other,2 Bridle Path,Woodcote,Reading
Cobbs at Englefield,Retailers - other,Wickcroft Farm Pangbourne Road,Theale,Reading
Coconut Bar & Kitchen,Restaurant/Cafe/Canteen,62 St Marys Butts,Reading,
Coffee & Cream / Cake Stop,Other catering premises,152 Park Lane,Tilehurst,Reading
Coffee Haven at British Garden Centre,Restaurant/Cafe/Canteen,Winnersh Garden Centre,654-656 Reading Road,Winnersh
Coffee House,Restaurant/Cafe/Canteen,33 Prospect Street,Caversham,Reading
Coley Park Off Licence,Retailers - other,52 Wensley Road,Reading,
Coley Park Pantry,Retailers - other,Coley Park Baptist Church Wensley Road,Reading,
Comies Caribbean,Restaurant/Cafe/Canteen,Ladbrokes Racing,202 Garsington Road,Oxford
Community Lunches,Other catering premises,Reading Room,,Milton Abbas
Compass at SSE,Restaurant/Cafe/Canteen,1 Forbury Place 43 Forbury Road,Reading,
Compass Catering at Select Car Leasing Stadium,Restaurant/Cafe/Canteen,Shooters Way,Reading,
Compass Group at Thames Valley Police,Restaurant/Cafe/Canteen,Thames Valley Police Training Centre Bottom Lane,Sulhamstead,Reading
Compass Group Uk and Ireland,Restaurant/Cafe/Canteen,2 Forbury Place,Forbury Road,Reading
Conisboro Express,Retailers - other,46 Conisboro Avenue,Caversham,Reading
Coombe House Residential Home,Caring Premises,Coombe House The Coombe,Streatley,Reading
Coombe Valley Raceway,Restaurant/Cafe/Canteen,Coombe Valley Motor Racing Circuit Coombe Road,,Hougham
Coppa Club @ The Swan,Restaurant/Cafe/Canteen,The Swan At Streatley High Street,Streatley,Reading
Coral Racing Ltd,Retailers - other,Coral Racing Ltd,1-2 Old Raffles Parade,Carlisle
Cornerstones/A2Dominion,Caring Premises,Halcyon Terrace,Tilehurst,Reading
Cornflower Sky,Takeaway/sandwich shop,Curdridge Reading Rooms,Reading Room Lane,Curdridge
Cosmo,Restaurant/Cafe/Canteen,35-38 Friar Street,Reading,
Costa Coffee,Restaurant/Cafe/Canteen,First Floor 8 Reading Road,Pangbourne,Reading
Costa Coffee,Restaurant/Cafe/Canteen,43 Church Street,Caversham,Reading
Costa Coffee,Other catering premises,1 The Triangle,Tilehurst,Reading
Costa Coffee,Restaurant/Cafe/Canteen,Proctor End North,Reading,
Costa Coffee,Other catering premises,99 Broad Street,Reading,
Costa Coffee,Restaurant/Cafe/Canteen,Costa Coffee NEXT,Unit 11A & 11B Roaring Meg Retail Park,London Road
Costa Coffee,Restaurant/Cafe/Canteen,Costa Coffee Roaring Meg Retail Park,London Road,Stevenage
Costa Coffee At Moto Hospitality Eastbound,Restaurant/Cafe/Canteen,Costa,Burghfield,Reading
"Costa Coffee At Moto Services Reading, Westbound",Restaurant/Cafe/Canteen,Eat And Drink Co,Burghfield,Reading
Costa Coffee at Reading Rail Station Concourse,Restaurant/Cafe/Canteen,Station Approach,Reading,
Costa Coffee at Tesco,Restaurant/Cafe/Canteen,Portman Road,Reading,Berkshire
Costa Coffee Drive Thru,Restaurant/Cafe/Canteen,,Reading Road,Winnersh
Costa Coffee Store,Restaurant/Cafe/Canteen,4 Butter Market,Reading,
Costa Coffee Store at Reading Gate Retail Park,Restaurant/Cafe/Canteen,,Reading,
Costa Drive Through at Moto Hospitality Eastbound,Takeaway/sandwich shop,Costa,Burghfield,Reading
Costcutter,Retailers - other,70 Christchurch Road,Reading,
Cosy Caffe and Kitchen,Restaurant/Cafe/Canteen,St James House 4 Church Road,Pangbourne,Reading
Cosy Club Reading,Restaurant/Cafe/Canteen,L30 The Oracle Shopping Centre Minster Street,Reading,
Cote Brasserie at The Oracle,Restaurant/Cafe/Canteen,Bridge Street,Reading,
Cozze Restaurant,Restaurant/Cafe/Canteen,2 - 6 Whitchurch Road,Pangbourne,Reading
Cranbury College,School/college/university,Cranbury Road,Reading,
Creams Café Reading,Restaurant/Cafe/Canteen,14-16 Oxford Road,Reading,
Creperie Doux Sourire,Other catering premises,Bridge Street,Reading,
Cressingham Short Break,Caring Premises,27 Cressingham Road,Reading,
Crispy Dosa Kitchen,Other catering premises,20 Portman Road,Reading,
Crispy Dosa Restaurant,Restaurant/Cafe/Canteen,60 Oxford Road,Reading,
Crispy flavours,Takeaway/sandwich shop,189 London Road,Reading,
Cross Country Trains at Reading Rail Station,Restaurant/Cafe/Canteen,Station Approach,Reading,
Crowmarsh Gifford C of E School,School/college/university,Old Reading Road Crowmarsh Gifford,Wallingford,Oxon
Crown Lodge Guest House,Hotel/bed & breakfast/guest house,27 Russell Street,Reading,
Crumbs Food Co  at Meadow Park Academy,School/college/university,Norcot Road,Tilehurst,Reading
Crumbs Food Co / Mash Up / Honolulu Poke / Whip It Up,Takeaway/sandwich shop,64 Portman Road,Reading,
Crumbs Food Co @ Green Park Village Primary Academy,School/college/university,2 Flagstaff Road,Reading,
Crumbs Food Co at All Saints Junior School,School/college/university,Brownlow Road,Reading,
Crumbs Food Co at Civitas Academy,School/college/university,90a Great Knollys Street,Reading,
Crumbs Food Company Ltd at Bucklebury Primary School,School/college/university,Bucklebury Church Of England Primary School Blacklands Road,Upper Bucklebury,Reading
Cube Cold,Distributors/Transporters,New Aquitaine House Exeter Way,Theale,Reading
Culinera @ Shinfield Infant & Nursery School,School/college/university,,School Grn,Shinfield
Culinera at Little Heath School,School/college/university,Little Heath School Little Heath Road,Tilehurst,Reading
CultureMix Arts & Music Centre,Pub/bar/nightclub,7 Queens Walk,Reading,
CUP Coffee Under Pressure,Restaurant/Cafe/Canteen,53 St Marys Butts,Reading,
CUP Speciality Coffee & Tea,Restaurant/Cafe/Canteen,7 Blagrave Street,Reading,
Curry Chef,Restaurant/Cafe/Canteen,469 Northumberland Avenue,Reading,
Curry Rasoi,Takeaway/sandwich shop,77 Northumberland Avenue,Reading,
D & D Convenience Store,Retailers - other,29 Whitley Wood Lane,Reading,
D&D Convenience Store,Retailers - other,23 Cholmeley Road,Reading,
Da Spottt,Restaurant/Cafe/Canteen,178-180 Oxford Road,Reading,
Da Village Afghan Resteraunt,Restaurant/Cafe/Canteen,387 Oxford Road,Reading,
Dailyz,Restaurant/Cafe/Canteen,30 Canterbury Road,Reading,
Davina News Off Licence,Retailers - other,74 Broad Street,Reading,Berkshire
Davinas Local,Retailers - other,23 Friar Street,Reading,
Day-Today,Retailers - other,,Costcutters,Redding Road
De Vere Wokefield Estate,Hotel/bed & breakfast/guest house,De Vere Hotel Wokefield Park,Mortimer,Reading
Deccan House,Restaurant/Cafe/Canteen,215 London Road,Reading,
Dee Caf Community Cafe,Restaurant/Cafe/Canteen,12 Spey Road,Tilehurst,Reading
Deer House Family Pub,Restaurant/Cafe/Canteen,Rudding Holiday Park Rudding Park,,
Dees Newsagents,Retailers - other,14 Reading Road,YATELEY,Hampshire
Delicere Bakery,Mobile caterer,33 Kingsway Caversham,Reading,
DeNata,Restaurant/Cafe/Canteen,377 Oxford Road,Reading,
Depeaches Events,Mobile caterer,14 Brent Gardens,Reading,
Desi Corner,Takeaway/sandwich shop,,39 Redding Road,
Dessi Bite/Biryani Max,Takeaway/sandwich shop,227 London Road,Reading,
Devil's Kitchen / Dope / Chi Taco / Doner / Spag Bowl / Hail C / Mac Junkies / YouVegan/ Taste On/ Crazy Chicken/ Smash Out/ In Fry/ Filthy Vegan/ Crazy Egg/ Milano'z Pizza/ Kings Kitchen,Takeaway/sandwich shop,166 Oxford Road,Reading,
Devonshire Care Home,Caring Premises,Rodway Road,Tilehurst,Reading
Dhaulagiri Kitchen Cafe and Restaurant,Restaurant/Cafe/Canteen,63 Basingstoke Road,Reading,
Dickory Docks Educational Day Nursery,Caring Premises,Prospect  School Cockney Hill,Reading,
Dilraj,Takeaway/sandwich shop,23 School Road,Tilehurst,Reading
Dimensions,Caring Premises,43 Clayhill Road,Burghfield Common,Reading
Dingtea,Other catering premises,19-23 King Street,Reading,
Dog And Partridge,Pub/bar/nightclub,105 Reading Road,Yateley,Hampshire
Dolce at Brookfields Special School,School/college/university,Brookfields Special School Sage Road,Tilehurst,Reading
Dolce Ltd at Downsway Primary School,School/college/university,Downsway Primary School Warbreck Drive,Tilehurst,Reading
Dolce Ltd at Garland Junior School,School/college/university,Garland Junior School Clayhill Road,Burghfield Common,Reading
Dolce Ltd at Mortimer St John's Infant School,School/college/university,Mortimer St. John's C.e. Infant School The Street,Mortimer Common,Reading
Dolce Ltd at Mortimer St Mary's Junior School,School/college/university,Mortimer St Mary's C.e. Junior School The Street,Mortimer,Reading
Dolphin's Caribbean Restaurant And Bar,Restaurant/Cafe/Canteen,59-60 St Marys Butts,Reading,
Domino's Pizza,Takeaway/sandwich shop,76 School Road,Tilehurst,Reading
Domino's Pizza,Takeaway/sandwich shop,64 Christchurch Road,Reading,
Domino's Pizza,Takeaway/sandwich shop,427 Oxford Road,Reading,
Domino's Pizza,Takeaway/sandwich shop,95 Wokingham Road,Reading,
Domino's Pizza at Milestone Way Precinct,Takeaway/sandwich shop,Milestone Way,Caversham,Reading
Dominos Pizza,Takeaway/sandwich shop,,Unit 5  The Square Chalfont Way Lower Earley Earley Reading,
Donnington Deli,Takeaway/sandwich shop,37 Erleigh Road,Reading,
Dose 365,Retailers - other,Flat 2,400 Reading Road,Winnersh
Douai Abbey,Hotel/bed & breakfast/guest house,Douai Abbey Cods Hill,Upper Woolhampton,Reading
Double Barrelled Brewery Ltd,Manufacturers/packers,Stadium Way,Tilehurst,Reading
Dough Brothers,Mobile caterer,Church Farm House,Halls Lane,Waltham St Lawrence
Doughnut Time,Takeaway/sandwich shop,Bridge Street,Reading,
Doughza,Takeaway/sandwich shop,87 Northumberland Avenue,Reading,
Downshire House,Caring Premises,9 Downshire Square,Reading,
Dr's Kitchen,Mobile caterer,Pakistan Community Centre Park Hall 373 London Road,Reading,
Dragon Garden,Takeaway/sandwich shop,471 Northumberland Avenue,Reading,
Dragon Inn Restaurant,Restaurant/Cafe/Canteen,,426 Reading Road,Winnersh
Dringhouses Bowling Club,Other catering premises,The Racing Stables,Tadcaster Road,Dringhouses
Drinks 4 U,Retailers - other,36 Market Place,Reading,
Dua Lounge,Other catering premises,355 Oxford Road,Reading,
Dubai Sweet Treats,Mobile caterer,Flat 43 West Fryerne Parkside Road,Reading,
Dudmans of Berkshire,Retailers - other,Unit 2 Manor Commercial Centre 12 Commercial Road,,Reading
Dynasty,Restaurant/Cafe/Canteen,18 Richfield Avenue,Reading,
E P Collier Primary School,Other catering premises,Ross Road,Reading,
Earley Cafe,Restaurant/Cafe/Canteen,121 Wokingham Road,Reading,
East Euro Market,Retailers - other,11 The Parade,Reading Road,Yateley
Eastern Choice,Takeaway/sandwich shop,28 Coronation Square,Reading,
Easy Hotel,Hotel/bed & breakfast/guest house,132-138 Caversham Road,Reading,
Eat & Drink at Park House,Restaurant/Cafe/Canteen,University Of Reading,Whiteknights Road,Earley
Eat at Agriculture,Restaurant/Cafe/Canteen,University Of Reading,Earley Gate,Earley
Eat at Enterprise,Restaurant/Cafe/Canteen,University of Reading,Reading Enterprise Centre,Whiteknights Road
Eat at MCC,Restaurant/Cafe/Canteen,Eat At Mcc,Moulton Community Centre,Reedings
Eat at St Patricks & St Patrick's Bar at University of Reading,Restaurant/Cafe/Canteen,20 Northcourt Avenue,Reading,Berkshire
Eat at the Square,Restaurant/Cafe/Canteen,University of Reading,Enterprise Centre,Earley Gate
Eat at Wantage Hall & Wantage Bar at University of Reading,School/college/university,Upper Redlands Road,Reading,
Eatnua,Restaurant/Cafe/Canteen,15 Gun Street,Reading,
EC Catering Partners,Other catering premises,Biscuit Way,Reading,
Eco Market,Retailers - other,117-119 Oxford Road,Reading,
Edmundson Electrical,Other catering premises,146 Cardiff Road,Reading,
Elegant Cuisine,Restaurant/Cafe/Canteen,The Mill At Sonning,Sonning Eye,Reading
Elephant & Castle,Pub/bar/nightclub,,Lodge Rd,Reading
Elior @ The Wood Group,Restaurant/Cafe/Canteen,400 Longwater Avenue,Reading,
Elior at The Hive,Restaurant/Cafe/Canteen,Ground Floor East Hive 1 1510 - 1520 Arlington Business Park,Theale,Reading
Elizabeth House Day Nursery & Preschool,Caring Premises,Elizabeth House Reading Road,Cholsey,Wallingford Oxon
Elles Baguettes,Takeaway/sandwich shop,200 Oxford Road,Reading,
Elles Baguettes at Selco,Restaurant/Cafe/Canteen,Portman Road,Reading,
Elmhurst Hotel,Hotel/bed & breakfast/guest house,51 Church Road,Earley,Reading
Emmanuel Pantry,Other catering premises,Emmanuel Methodist Church 448 Oxford Road,Reading,
Emmbrook Convenience Store,Retailers - other,,139 Reading Road,Wokingham
Emmbrook Court Very Sheltered Housing,Restaurant/Cafe/Canteen,Emmbrook Court South Drive,Reading,
Emmer Green Kindergarten,Caring Premises,85 Grove Road,Emmer Green,Reading
Englefield Stores and Tea Rooms,Retailers - other,Englefield Stores The Street,Englefield,Reading
Ephesus,Restaurant/Cafe/Canteen,19 Whitley Street,Reading,
Erleigh Road Pharmacy,Retailers - other,85-87 Erleigh Road,READING,Berkshire
Escape Hunt,Pub/bar/nightclub,King Street,Reading,
Esquires Coffee,Restaurant/Cafe/Canteen,8 Flagstaff Road,Reading,
ESS Government Services at AWE Burghfield,Restaurant/Cafe/Canteen,Awe Burghfield The Mearings,Burghfield,Reading
Esthwaite Ltd,Restaurant/Cafe/Canteen,The Boat House,Ridding Wood,
Eugreeka!,Takeaway/sandwich shop,89 Wokingham Road,Reading,
Eurest,Restaurant/Cafe/Canteen,1320 Arlington Business Park,Theale,Reading
Eurest At AWE Aldermaston,Restaurant/Cafe/Canteen,Awe Reading Road,Aldermaston,Reading
Eurest At AWE Burghfield,Restaurant/Cafe/Canteen,Awe Burghfield The Mearings,Burghfield,Reading
Eurest Food At Porsche Cars GB,Restaurant/Cafe/Canteen,Porsche Pincents Kiln,Calcot,Reading
Euro Deli,Retailers - other,185 Oxford Road,Reading,
European Mini Market,Retailers - supermarkets/hypermarkets,462 Oxford Road,Reading,
Evans Cycles,Retailers - other,Mill Lane,Reading,
Everest Tandoori Restaurant at Meadway Precinct,Restaurant/Cafe/Canteen,Honey End Lane,Reading,
Everyday Express,Retailers - other,260-262 Kentwood Hill Tilehurst,Reading,
Evians Food,Restaurant/Cafe/Canteen,Huntley Place 1 Flagstaff Road,Reading,
Exotic Food Market Ltd,Retailers - other,82-84 Whitley Street,Reading,
Exotic Superstores,Retailers - other,732 Oxford Road,Reading,
ExoticEstore,Retailers - supermarkets/hypermarkets,24b Portman Road,Reading,
Eyre & Elliston,Retailers - other,9c Loverock Road,Reading,
Fab4All,Other catering premises,Unit 16 North Street,Reading,
Family Shopper,Retailers - supermarkets/hypermarkets,27 School Road Tilehurst,Reading,
Farmhouse Pizza,Takeaway/sandwich shop,435 Oxford Road,Reading,
Farnham Flint Match Hut,Restaurant/Cafe/Canteen,Farnham Flint Cottage Lane,Pingewood,Reading
Fast Track Catering,Mobile caterer,Shenington Kart Racing Club,,Shenington
Fat Twins Reading,Restaurant/Cafe/Canteen,120 London Road,Reading,
Favourite Chicken,Takeaway/sandwich shop,10 St Marys Butts,Reading,
Fennies Day Nurseries,Other catering premises,Kilnbrook House Rose Kiln Lane,Reading,
Fidget & Bob,Restaurant/Cafe/Canteen,Whale Avenue,Reading,
Fire Thru at 365 Gym,Restaurant/Cafe/Canteen,33 Meadway Precinct Honey End Lane,Reading,
Fish Glorious Fish,Retailers - other,Casey Fields Farm Dog Lane,Ashampstead,Reading
Five Guys,Retailers - other,Showcase Cinema,Winnersh Roundabout,Reading
Five Guys,Restaurant/Cafe/Canteen,Unit R13 The Riverside The Oracle,Reading,
Flame Kebab,Mobile caterer,The Tythings,Reading Road,Yateley
Flava Fusionn,Mobile caterer,27 Margaret Close,Reading,
Flavour of Mauritius,Other catering premises,143-145 Caversham Road,Reading,
Fledglings Day Nursery At Little Heath School,Caring Premises,Little Heath School Little Heath Road,Tilehurst,Reading
Fledglings Lodge,Caring Premises,51 Armour Hill,Tilehurst,Reading
Fleet Cricket Club,Other catering premises,Pavillion Calthope Park,Reading Road North,FLEET
Fleet Methodist Church,Other catering premises,Reading Road South,Fleet,Hampshire
Flight Club Darts,Pub/bar/nightclub,1 Station Hill Square,Reading,
Flip,Mobile caterer,35 Bolton Drive,Reading,
Flip,Retailers - other,,35 Bolton Drive,Shinfield
Florence House,Caring Premises,36 Baskerville Road,Sonning Common,Reading
Florence House Nursing Home,Caring Premises,16-22 Westcote Road,Reading,
Fluffy Fluffy Reading at Kings Walk,Other catering premises,19-23 Kings Street,Reading,
Food Avenue,Restaurant/Cafe/Canteen,168c Whitley Wood Road,Reading,
"Foodwise Reading, Food Coach",Caring Premises,Northumberland Avenue,Reading,
Forbury Gardens Day Nursery,Caring Premises,Abbots Walk,Reading,
Forest Edge Coffee Shop,Restaurant/Cafe/Canteen,Alderholt Reading Room 119 Station Road,,Alderholt
FORMULA 1 BAR,Restaurant/Cafe/Canteen,Pembrey Motor Racing Circuit,,Pembrey
Four Seasons Fish & Chips,Takeaway/sandwich shop,268 Kentwood Hill,Tilehurst,Reading
Fox & Hounds,Pub/bar/nightclub,The Fox And Hounds,Sulhamstead,Reading
Fox And Hounds,Pub/bar/nightclub,51 Gosbrook Road,Caversham,Reading
Fox Cubs Day Nursery,Caring Premises,Chapel House,Old Reddings Road,Cheltenham
Freddie's Afro Caribbean,Retailers - other,33 Whitley Street,Reading,
Fresh Gurkha Grocery,Retailers - other,253 London Road,Reading,
Friday Cafe,Restaurant/Cafe/Canteen,The Reading Rooms The Reading Rooms Fox Street,,Great Gransden
Friend's Pizza & Grill,Restaurant/Cafe/Canteen,229C London Road,Reading,
Friendly Corner Hall Green Church,Restaurant/Cafe/Canteen,609 Reddings Lane,Hall Green,Birmingham
Friends Coffee House Battle Block at Royal Berkshire Hospital,Restaurant/Cafe/Canteen,London Road,Reading,
Friends Place Care Home,Caring Premises,Friends Place The Chase,Calcot,Reading
Fuel Juice Bar at The Oracle,Takeaway/sandwich shop,Bridge Street,Reading,
Funtastic Kids @ The Ridgeway,School/college/university,The Ridgeway Primary School,Hillbrow,Reading
Funtastic Kids at Geoffrey Field Junior School,Caring Premises,Exbourne Road,Reading,
Funtastic Kids at Whitley Park Primary and Nursery School,Caring Premises,Brixham Road,Reading,
Funtastic Kids Ltd at Burghfield St Marys Primary School,Caring Premises,Burghfield St Marys Church Of England Primary School Theale Road,Burghfield,Reading
Funtastic Kids Ltd at Springfield Primary School,Caring Premises,Springfield Primary School Barton Road,Tilehurst,Reading
Funtastic Kids Ltd at Sulhamstead and Ufton Nervet PS,Caring Premises,Sulhamstead And Ufton Nervet Church Of England Voluntary Aided Primary School Church Lane,Ufton Nervet,Reading
GAIL's Reading,Restaurant/Cafe/Canteen,134 Broad Street,Reading,
Galleybagger Inn,Pub/bar/nightclub,Chillerton Reading Room,Main Road,Chillerton
Garam,Mobile caterer,3 Minster Court Minster Street,Reading,
Garlands Organic,Retailers - other,8 Reading Road,Pangbourne,Reading
Gary and Paul,Retailers - other,Clayhanger Farm Quicks Green,Ashampstead,Reading
Gather & Gather at BP Technology  Centre,Restaurant/Cafe/Canteen,B.P. Technology Centre Whitchurch Hill,Pangbourne,Reading
Gather & Gather Limited at Direct Wines Ltd,Restaurant/Cafe/Canteen,1 Waterside Drive,Theale,Reading
Gather & Gather UK,Restaurant/Cafe/Canteen,41 West Street,Reading,
Gaylord Tandoori Twyford,Takeaway/sandwich shop,,26 London Rd,Twyford
GB Total Equestrian Ltd,Retailers - other,Field Barn Farm Beenham Hill,Beenham,Reading
Genting Casino (Reading),Restaurant/Cafe/Canteen,18 Richfield Avenue,Reading,
Geo Cafe,Restaurant/Cafe/Canteen,10 Prospect Street,Caversham,Reading
Geo-Bakery,Retailers - other,10 Prospect Street,Caversham,Reading
Geoffrey Field Infant & Junior School,School/college/university,Exbourne Road,Reading,Berkshire
George's Kebab Mobile Van,Mobile caterer,Scours Lane,Tilehurst,Reading Berkshire
German Doner Kebab,Takeaway/sandwich shop,106 Friar Street,Reading,
Get Active Sports,Other catering premises,Lydford Road,Reading,
Get Active Sports at Bucklebury CE Primary School,Caring Premises,Bucklebury Church Of England Primary School Blacklands Road,Upper Bucklebury,Reading
GK,Takeaway/sandwich shop,49 Whitley Street,Reading,
Global Hospitality Group UK,Other catering premises,Key House Cow Lane,Reading,
Gloria's Food Hall,Takeaway/sandwich shop,Reading Biscuit Factory 19 Queens Walk,Reading,
GND Catering,Restaurant/Cafe/Canteen,,MACE Construction Site,ECMWF
